"Time","stdTM5418300110010548962.rates_x","stdTM5418300110010548962.rates_y","stdTM5418300110010548962.rates_z"
1722011619047,0.034505,-0.028635,0.017452
1722011620862,0.013005,0.02264,0.037235
1722011622705,-0.001152,0.006123,0.025831
1722011624505,-0.000366,-0.01,0.019932
1722011627179,-0.003512,0.007696,-0.022933
1722011628955,-0.003905,0.007303,-2.045855
1722011630813,-0.041265,0.108763,0.018752
1722011632613,0.005926,0.015954,0.043134
1722011635192,-0.014916,0.050954,0.027404
1722011637077,0.022836,0.012415,1.738864
1722011638819,0.003567,0.055673,0.021505
1722011640632,0.015365,0.023033,0.015213
1722011642657,0.058623,0.003763,2.851786
1722011645140,-0.005478,0.053707,0.021505
1722011647450,-0.006265,0.026179,0.015213
1722011649233,0.079072,-0.021798,4.156225
1722011651688,0.009859,0.029718,0.043134
1722011652855,0.028735,-0.026517,0.028584
1722011654626,0.053511,-0.122472,0.016786
1722011656985,0.005533,0.045056,0.016393
1722011658811,-0.01413,0.092247,0.024651
1722011661467,0.020477,0.004943,0.978696
1722011663190,0.001994,0.031291,0.014426
1722011664975,0.025589,-0.016686,0.10291
1722011666785,0.038567,-0.057192,2.644538
1722011669135,-0.004692,0.006516,0.024651
1722011670962,0.02087,0.008876,0.026224
1722011672719,-0.001939,0.042303,0.419089
1722011675039,0.026376,-0.035956,0.028191
1722011677082,0.02655,0.018694,0.028588
1722011679217,0.010641,-0.007954,0.025009
1722011680995,0.100308,-0.013147,5.067797
1722011682810,0.007499,-0.033203,0.028584
1722011684574,0.024409,0.011235,0.03291
1722011687357,0.071994,-0.054046,3.329989
1722011689380,-0.002332,0.002583,0.006561
1722011690921,0.024409,0.025786,0.028584
1722011692759,0.009448,-0.095056,1.087736
1722011694536,0.013792,0.007303,0.032516
1722011696776,0.030308,0.098146,0.18746
1722011698556,-0.042837,-0.112641,0.010494
1722011701359,0.007459,-0.003579,0.021827
1722011703166,0.033454,0.024213,0.114707
1722011704930,0.019691,-0.036349,0.008921
1722011707113,0.015365,-0.014327,0.033303
1722011708950,0.040073,0.038978,0.007509
1722011711071,-0.001939,0.041123,-0.015461
1722011713116,0.023623,0.045056,0.03173
1722011715124,0.024803,-0.004102,1.419145
1722011717340,-0.006658,-0.024158,0.058865
1722011719149,0.0075,-0.004102,0.025438
1722011720902,0.049185,0.037583,0.071449
1722011722682,0.0353,0.019886,0.037338
1722011724533,0.050365,0.027359,0.021112
1722011726950,0.053904,-0.032417,3.302854
1722011729014,-0.034972,-0.038709,0.006168
1722011731091,0.000814,-0.010787,0.023865
1722011732852,0.048791,-0.023765,3.414146
1722011734615,-0.003512,-0.002136,0.028584
1722011736582,0.062949,0.019494,0.034876
1722011738748,0.055477,-0.008821,2.993359
1722011741163,-0.006658,0.017921,0.014426
1722011742913,0.005927,-0.008428,0.019146
1722011745337,-0.037882,-0.051306,0.338418
1722011746892,0.017331,-0.012361,0.01482
1722011748699,0.030308,-0.000169,0.054539
1722011750879,-0.008231,-0.017473,0.248808
