"Time","stdTM5418300110010548962.attitude_q0","stdTM5418300110010548962.attitude_q1","stdTM5418300110010548962.attitude_q2","stdTM5418300110010548962.attitude_q3"
1722011908873,-0.775675,0.021253,-0.001155,0.630774
1722011911131,-0.809141,0.021114,-0.000665,0.587234
1722011913248,-0.814515,0.020865,-0.000554,0.579767
1722011915117,-0.814753,0.020544,-0.000556,0.579444
1722011916808,-0.814923,0.020343,-0.000327,0.579212
1722011918625,-0.83396,0.019997,-0.00028,0.551463
1722011921174,-0.838505,0.019726,-0.000278,0.544537
1722011923021,-0.838718,0.019467,0.000009,0.544217
1722011924839,-0.861186,0.01927,0.000275,0.507924
1722011927025,-0.861252,0.019364,0.00069,0.507809
1722011928775,-0.861425,0.018664,-0.00005,0.507543
1722011931174,-0.882639,0.017998,-0.000278,0.469707
1722011932973,-0.883396,0.017494,-0.000522,0.468301
1722011935001,-0.88368,0.01726,-0.000436,0.467773
1722011936863,-0.894551,0.016266,-0.001064,0.446669
1722011939007,-0.894759,0.015687,-0.001547,0.446271
1722011940818,-0.90881,0.015293,-0.001729,0.416925
1722011942625,-0.910565,0.014685,-0.002282,0.413098
1722011944461,-0.914031,0.014737,-0.002194,0.40537
1722011946710,-0.923157,0.013836,-0.002144,0.384168
1722011948425,-0.923398,0.014189,-0.001697,0.383577
1722011950940,-0.935668,0.013411,-0.00166,0.352623
1722011952770,-0.936374,0.012698,-0.001763,0.350771
1722011954929,-0.947886,0.012039,-0.001526,0.318378
1722011957039,-0.948018,0.012277,-0.001184,0.317978
1722011958855,-0.962723,0.011466,-0.001071,0.270243
1722011960586,-0.962776,0.010659,-0.001278,0.270089
1722011962429,-0.970799,0.009988,-0.001017,0.239683
1722011964931,-0.972824,0.009748,-0.000844,0.231339
1722011967306,-0.973025,0.009523,-0.000768,0.230503
1722011968903,-0.981766,0.008583,-0.000693,0.1899
1722011970701,-0.981844,0.008579,-0.000605,0.189497
1722011973383,-0.990183,0.006733,-0.000637,0.139613
1722011975156,-0.990246,0.006556,-0.000633,0.139173
1722011976970,-0.994943,0.005806,-0.00042,0.100269
1722011978754,-0.994962,0.005576,-0.000337,0.100097
1722011980612,-0.999678,0.003846,0.000373,0.025073
1722011982910,-0.999693,0.003007,0.000041,0.024609
1722011984747,-0.999698,0.002484,-0.000105,0.024447
1722011986545,-0.999997,0.002111,-0.000099,0.001497
1722011988889,-0.999924,0.001035,-0.000001,-0.012286
1722011990678,-0.997125,0.000163,0.00049,-0.07577
1722011992574,-0.995755,-0.000825,0.000414,-0.092039
1722011994774,-0.99572,-0.000979,0.000479,-0.092419
1722011996555,-0.991483,-0.001813,0.000862,-0.130219
1722011999184,-0.991433,-0.003175,0.000579,-0.130575
1722012001059,-0.991386,-0.00357,0.0005,-0.13092
1722012002876,-0.991366,-0.003718,0.000259,-0.131072
