sep=,
"Time","stdTM5418300110010548962.mean","stdTM5418300110010548962.mean","stdTM5418300110010548962.mean"
1720437692000,0,0,0
1720437694000,,,
1720437696000,0,0,0
1720437698000,0,0,0
1720437700000,0,0,0
1720437702000,0,0,0
1720437704000,-0.029887,-0.898566,0.43782
1720437706000,-0.001896,-0.565975,0.82442
1720437708000,-0.00311,-0.568867,0.822424
1720437710000,-0.003294,-0.56893,0.822379
1720437712000,,,
1720437714000,-0.002738,-0.56971,0.821841
1720437716000,-0.003236,-0.574185,0.818719
1720437718000,-0.001223,-0.599302,0.800522
1720437720000,-0.000805,-0.621662,0.783286
1720437722000,-0.002491,-0.61519,0.788375
1720437724000,-0.00283,-0.599989,0.800003
1720437726000,-0.004212,-0.584823,0.81115
1720437728000,-0.00508,-0.560869,0.827889
1720437730000,-0.003679,-0.534231,0.845331
1720437732000,-0.003428,-0.50934,0.860558
1720437734000,-0.001986,-0.472752,0.881193
1720437736000,,,
1720437738000,-0.001694,-0.436799,0.899558
1720437740000,-0.0014475,-0.390826,0.9204495
1720437742000,-0.003376,-0.338273,0.941042
1720437744000,-0.002907,-0.326083,0.945337
1720437746000,-0.00247,-0.32244,0.946587
1720437748000,-0.00631,-0.282515,0.959242
1720437750000,-0.007029,-0.224707,0.974401
1720437752000,,,
1720437754000,-0.008662,-0.213009,0.977012
1720437756000,-0.010903,-0.158967,0.986904
1720437758000,-0.010579,-0.103174,0.994607
1720437760000,-0.007495,-0.101741,0.994783
1720437762000,-0.006758,-0.06569,0.997817
1720437764000,-0.005711,-0.055911,0.998419
1720437766000,-0.007234,-0.057643,0.998311
1720437768000,-0.006719,-0.057488,0.998324
1720437770000,-0.006714,-0.058055,0.998291
1720437772000,-0.005766,-0.049134,0.998776
1720437774000,,,
1720437776000,-0.00563,0.030194,0.999528
1720437778000,-0.005581,0.030966,0.999505
1720437780000,-0.006496,0.032494,0.999451
1720437782000,-0.008776,0.13353,0.991006
1720437784000,-0.009762,0.360946,0.932536
1720437786000,-0.010109,0.452093,0.891914
1720437788000,-0.005514,0.51504,0.857149
1720437790000,,,
1720437792000,-0.003231,0.514212,0.857657
1720437794000,-0.0040975000000000004,0.5605955,0.827851
1720437796000,-0.001847,0.576649,0.81699
