sep=,
"Time","adcs_Raw_Gyro_Mag_Values.mag_rm_vector_raw_sat_x","adcs_Raw_Gyro_Mag_Values.mag_rm_vector_raw_sat_y","adcs_Raw_Gyro_Mag_Values.mag_rm_vector_raw_sat_z","adcs_Raw_Gyro_Mag_Values.mag_rm_vector_calib_sat_x","adcs_Raw_Gyro_Mag_Values.mag_rm_vector_calib_sat_y","adcs_Raw_Gyro_Mag_Values.mag_rm_vector_calib_sat_z"
1720440059956,0.621505,-31.808601,15.663655,-5.292992,-20.272537,14.079519
1720440060787,1.595269,-31.648602,15.630963,-4.51482,-20.137877,14.031733
1720440062324,3.538924,-31.348389,15.354411,-2.957968,-19.884398,13.738708
1720440063400,4.785376,-31.176342,15.039571,-1.957151,-19.738995,13.422258
1720440066200,7.541504,-30.870537,13.942795,0.263017,-19.480862,12.348157
1720440067062,7.645161,-30.856344,13.909677,0.34636,-19.468811,12.315348
1720440068339,8.667957,-30.799137,13.310967,1.173893,-19.421793,11.737784
1720440069994,11.078279,-30.640858,11.606022,3.128599,-19.287357,10.101233
1720440071110,12.295053,-30.583656,10.467527,4.120082,-19.237396,9.015196
1720440072163,13.496774,-30.555698,9.170753,5.102357,-19.212124,7.781485
1720440074599,16.002151,-30.580643,5.417204,7.168012,-19.224808,4.227165
1720440077801,17.538063,-30.680429,1.68086,8.458386,-19.295696,0.705313
1720440078865,18.070538,-30.750101,-0.415914,8.919045,-19.344658,-1.265636
1720440079942,18.384516,-30.828814,-2.47871,9.204413,-19.399986,-3.201156
1720440080888,18.447311,-30.857199,-3.39957,9.269836,-19.417908,-4.064005
1720440083732,18.077415,-31.070539,-8.504516,9.058542,-19.56074,-8.835237
1720440084596,17.564299,-31.14753,-10.444301,8.680117,-19.607878,-10.642218
1720440085886,16.797417,-31.217634,-12.391827,8.098707,-19.646399,-12.452396
1720440088601,13.250753,-31.288176,-17.364729,5.342108,-19.632652,-17.049822
1720440090066,11.96559,-31.260216,-18.42968,4.330795,-19.586178,-18.026232
1720440090713,10.834409,-31.209461,-19.194839,3.437618,-19.523346,-18.724678
1720440093211,7.611183,-31.051611,-20.605591,0.879987,-19.33923,-19.994574
1720440094157,5.499784,-30.92215,-21.049461,-0.80343,-19.199492,-20.37706
1720440096873,4.430107,-30.869246,-21.148815,-1.658198,-19.141176,-20.453215
1720440097781,4.416774,-30.860643,-21.148815,-1.668947,-19.133337,-20.453074
1720440099034,4.405592,-30.865803,-21.135054,-1.678068,-19.137983,-20.439964
1720440100580,4.403871,-30.852898,-21.143223,-1.679433,-19.126324,-20.447699
1720440101614,4.408602,-30.861502,-21.136343,-1.675679,-19.134142,-20.441257
1720440102712,4.410323,-30.849463,-21.139786,-1.674359,-19.123331,-20.444614
1720440106007,4.408602,-30.862795,-21.132473,-1.67573,-19.135334,-20.437624
1720440108204,4.417634,-30.843439,-21.135912,-1.668628,-19.118032,-20.44116
1720440109326,4.413764,-30.858068,-21.136776,-1.671574,-19.131107,-20.441776
1720440111994,4.413333,-30.851185,-21.145807,-1.671837,-19.124853,-20.450285
