sep=,
"Time","stdTM5418300110010548962.sun_sensor_source"
1720438605676,4
1720438607339,4
1720438609683,4
1720438612224,4
1720438613754,4
1720438615980,4
1720438617460,4
1720438619634,4
1720438621294,4
1720438623684,4
1720438625796,4
1720438628033,4
1720438629918,4
1720438632009,4
1720438635399,4
1720438637094,4
1720438639968,4
1720438641610,4
1720438643762,4
1720438645409,4
1720438649894,4
1720438651485,4
1720438654147,4
1720438656077,4
1720438657784,4
1720438659783,4
1720438662021,4
1720438663542,4
1720438665724,4
1720438669702,4
1720438672163,4
1720438673484,4
1720438675636,4
1720438677453,5
1720438679552,5
1720438681262,5
1720438683691,5
1720438686114,5
1720438688431,5
1720438690003,5
1720438692221,5
1720438693424,5
1720438695663,5
1720438697266,5
1720438699845,5
1720438702039,5
1720438703685,5
1720438706100,5
1720438709770,5
1720438711144,5
1720438713505,5
1720438715694,5
1720438717356,5
1720438719700,5
1720438721984,5
1720438723776,5
1720438726206,5
1720438727775,5
1720438731388,5
1720438733465,4
1720438735683,4
1720438737371,5
1720438739517,5
1720438741486,5
1720438743999,5
1720438746214,5
1720438748533,5
1720438749741,5
1720438751968,5
1720438753572,5
1720438755759,5
1720438757281,5
1720438759806,5
1720438762365,5
1720438763995,5
1720438766065,5
1720438767483,5
1720438769631,5
1720438771327,5
1720438773895,5
1720438776175,5
1720438777830,5
1720438780149,5
1720438781741,5
1720438783905,5
1720438785322,5
1720438787891,5
1720438790090,5
1720438791738,5
1720438793837,5
1720438795532,5
1720438797594,5
1720438801982,5
1720438804243,5
1720438805505,5
1720438807676,5
1720438809327,5
1720438811492,5
1720438813824,5
1720438815431,5
1720438817926,5
1720438819674,5
1720438821812,5
1720438823271,5
1720438825672,5
1720438827914,5
1720438829648,5
1720438831737,5
1720438833416,5
1720438835844,5
1720438838207,5
1720438839780,5
1720438841695,5
1720438843338,4
1720438845831,4
1720438848113,4
1720438849675,4
1720438851906,4
1720438853419,4
1720438855927,4
1720438857694,4
1720438859964,4
1720438861262,4
1720438863706,4
1720438865902,4
1720438868190,4
1720438869696,4
1720438871891,4
1720438873720,4
1720438875949,4
1720438877541,4
1720438879818,4
1720438882104,4
1720438883644,4
1720438885848,4
1720438887541,4
1720438889596,4
1720438893577,4
1720438896153,4
1720438897547,4
1720438899683,4
1720438901232,4
1720438903436,4
1720438905666,4
1720438907352,4
1720438909584,4
1720438912084,4
1720438913982,4
1720438916277,4
1720438917656,4
1720438919708,4
1720438921357,4
1720438923487,4
1720438925156,4
1720438928379,4
1720438930162,4
1720438932426,4
1720438933998,4
1720438935905,4
1720438937422,4
1720438939524,4
1720438941126,4
1720438943367,4
1720438945812,4
1720438948313,4
1720438949916,4
1720438952163,4
1720438953443,4
1720438955851,4
1720438957554,4
1720438959687,4
1720438961235,4
1720438963693,4
1720438965976,4
1720438967841,4
1720438970041,4
1720438971719,4
1720438973728,4
1720438975377,4
1720438977392,4
1720438979846,4
1720438981454,4
1720438983594,4
1720438985546,4
1720438988214,4
1720438990470,4
1720438991786,4
1720438993975,4
1720438995596,4
1720438997634,4
1720438999322,4
1720439001686,4
1720439004198,4
1720439007906,4
1720439009308,4
