sep=,
"Time","adcs_SunVectors.xm_sun_vector_x"
1720438888003,0
1720438890634,0
1720438891836,0
1720438892764,0
1720438897998,0
1720438898988,0
1720438901660,0
1720438902784,0
1720438905493,0
1720438906875,0
1720438911871,0
1720438913074,0
1720438916910,0
1720438918116,0
1720438919158,0
1720438920743,0
1720438921734,0
1720438922855,0
1720438924535,0
1720438925998,0
1720438926947,0
1720438928283,0
1720438929487,0
1720438933278,0
1720438934208,0
1720438935692,0
1720438936854,0
1720438940474,0
1720438941550,0
1720438942754,0
1720438948140,0
1720438949071,0
1720438951800,0
1720438952921,0
1720438955809,0
1720438956842,0
1720438957991,0
1720438960590,0
1720438961753,0
1720438965888,0
1720438967137,0
1720438968061,0
1720438970885,0
1720438971862,0
1720438973599,0
1720438974676,0
1720438975882,0
1720438978681,0
1720438979804,0
1720438980837,0
1720438981893,0
1720438984711,0
1720438986176,0
1720438988428,0
1720438991391,0
1720438993891,0
1720438994838,0
1720438996041,0
1720438998624,0
1720438999831,0
1720439004918,0
1720439006121,0
1720439009784,0
1720439012671,0
1720439014821,0
1720439016028,0
1720439018616,0
1720439019607,0
1720439021200,0
1720439023492,0
1720439026241,0
1720439027445,0
1720439029855,0
1720439031106,0
1720439033733,0
1720439034899,0
1720439037569,0
1720439038946,0
1720439039892,0
1720439043988,0
1720439044889,0
1720439047737,0
1720439048852,0
1720439049883,0
1720439052906,0
1720439053766,0
1720439055014,0
1720439056263,0
1720439058850,0
1720439060052,0
1720439060971,0
1720439063717,0
1720439064877,0
1720439068800,0
1720439070008,0
1720439070945,0
1720439073623,0
1720439074830,0
1720439078748,0
1720439080044,0
1720439080952,0
1720439084092,0
1720439088573,0
1720439089776,0
1720439096065,0
1720439097189,0
1720439101020,0
1720439101975,0
1720439103477,0
1720439104856,0
1720439108605,0
1720439109765,0
1720439110733,0
1720439113642,0
1720439114635,0
1720439115799,0
1720439119930,0
1720439121052,0
1720439123594,0
1720439124544,0
1720439126175,0
1720439128388,0
1720439131133,0
1720439132337,0
1720439134838,0
1720439136129,0
1720439136976,0
1720439140780,0
1720439143623,0
1720439144618,0
1720439145819,0
1720439150860,0
1720439152154,0
1720439154694,0
1720439155858,0
1720439156820,0
1720439160856,0
1720439162059,0
1720439164644,0
1720439165639,0
1720439166887,0
1720439169643,0
1720439170589,0
1720439171885,0
1720439177958,0
1720439178910,0
1720439181617,0
1720439182783,0
1720439185540,0
1720439186962,0
1720439187993,0
1720439189241,0
1720439190406,0
1720439193076,0
1720439194021,0
1720439196695,0
1720439197853,0
1720439200486,0
1720439201824,0
1720439208110,0
1720439209273,0
1720439211859,0
1720439213109,0
1720439213954,0
1720439215563,0
1720439216683,0
1720439218019,0
1720439222025,0
1720439222932,0
